dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
compas,FACETIndex,50,1,,0.632575758,0.58556701,0.602972399,0.594142259,1,0.1925,0.1925,1,9.798192024,0.059575558,0.002978778,20
compas,FACETIndex,50,2,,0.653409091,0.657276995,0.56,0.60475162,1,0.06125,0.06125,1,9.968499899,0.047086954,0.002354348,20
compas,FACETIndex,50,3,,0.662878788,0.674242424,0.54048583,0.6,1,0.1025,0.1025,1,9.798130274,0.051563263,0.002578163,20
compas,FACETIndex,50,4,,0.660037879,0.678663239,0.530120482,0.595264938,1,0.0775,0.0775,1,9.719399691,0.039252758,0.001962638,20
compas,FACETIndex,50,5,,0.660037879,0.672897196,0.568047337,0.616042781,1,0.105,0.105,1,9.749550104,0.042547464,0.002127373,20
compas,FACETIndex,50,6,,0.638257576,0.651162791,0.546875,0.59447983,1,0.06625,0.06625,1,10.00106454,0.039710522,0.001985526,20
compas,FACETIndex,50,7,,0.675189394,0.675294118,0.583333333,0.625954198,1,0.11,0.11,1,9.838625669,0.047712088,0.002385604,20
compas,FACETIndex,50,8,,0.667613636,0.693430657,0.558823529,0.618892508,1,0.0825,0.0825,1,10.00188303,0.044949532,0.002247477,20
compas,FACETIndex,50,9,,0.660984848,0.665924276,0.58974359,0.625523013,1,0.0725,0.0725,1,9.869386911,0.040377855,0.002018893,20
compas,FACETIndex,100,0,,0.630681818,0.58643326,0.571428571,0.578833693,1,0.18625,0.18625,1,19.45583606,0.068581343,0.003429067,20
compas,FACETIndex,100,1,,0.630681818,0.584551148,0.59447983,0.589473684,1,0.19625,0.19625,1,18.85885811,0.071313381,0.003565669,20
compas,FACETIndex,100,2,,0.653409091,0.65437788,0.568,0.608137045,1,0.06125,0.06125,1,19.4012959,0.049272299,0.002463615,20
compas,FACETIndex,100,3,,0.661931818,0.672544081,0.54048583,0.599326599,1,0.1025,0.1025,1,18.93582392,0.055227757,0.002761388,20
compas,FACETIndex,100,4,,0.664772727,0.671428571,0.56626506,0.614379085,1,0.07625,0.07625,1,18.73688364,0.045727968,0.002286398,20
compas,FACETIndex,100,5,,0.665719697,0.684210526,0.564102564,0.618378378,1,0.105,0.105,1,18.81637788,0.050093889,0.002504694,20
compas,FACETIndex,100,6,,0.634469697,0.643835616,0.55078125,0.593684211,1,0.0625,0.0625,1,19.18825698,0.040907383,0.002045369,20
compas,FACETIndex,100,7,,0.667613636,0.664335664,0.579268293,0.618892508,1,0.10875,0.10875,1,19.04558229,0.050554991,0.00252775,20
compas,FACETIndex,100,8,,0.671401515,0.693586698,0.57254902,0.627282492,1,0.0825,0.0825,1,19.3006084,0.049420118,0.002471006,20
compas,FACETIndex,100,9,,0.660984848,0.66518847,0.591715976,0.626304802,1,0.06625,0.06625,1,18.90267634,0.039512396,0.00197562,20
compas,FACETIndex,200,0,,0.631628788,0.587336245,0.573560768,0.580366775,1,0.18625,0.18625,1,39.51591825,0.075669765,0.003783488,20
compas,FACETIndex,200,1,,0.633522727,0.586419753,0.605095541,0.595611285,1,0.1975,0.1975,1,42.42586637,0.083650589,0.004182529,20
compas,FACETIndex,200,2,,0.653409091,0.656542056,0.562,0.605603448,1,0.06,0.06,1,38.52096534,0.048975229,0.002448761,20
compas,FACETIndex,200,3,,0.663825758,0.675062972,0.542510121,0.601571268,1,0.1025,0.1025,1,42.23689127,0.068347931,0.003417397,20
compas,FACETIndex,200,4,,0.664772727,0.670616114,0.568273092,0.615217391,1,0.08375,0.08375,1,41.5303421,0.056900978,0.002845049,20
compas,FACETIndex,200,5,,0.661931818,0.678571429,0.562130178,0.614886731,1,0.105,0.105,1,41.0921061,0.05651474,0.002825737,20
compas,FACETIndex,200,6,,0.638257576,0.649769585,0.55078125,0.596194503,1,0.0625,0.0625,1,39.53287649,0.047809362,0.002390468,20
compas,FACETIndex,200,7,,0.674242424,0.669724771,0.593495935,0.629310345,1,0.1325,0.1325,1,37.45037961,0.065817118,0.003290856,20
compas,FACETIndex,200,8,,0.671401515,0.693586698,0.57254902,0.627282492,1,0.0825,0.0825,1,39.12972999,0.060967684,0.003048384,20
compas,FACETIndex,200,9,,0.659090909,0.662971175,0.58974359,0.624217119,1,0.0725,0.0725,1,37.41249537,0.047749043,0.002387452,20
compas,FACETIndex,300,0,,0.632575758,0.586723769,0.584221748,0.585470085,1,0.21,0.21,1,61.2529726,0.083767176,0.004188359,20
compas,FACETIndex,300,1,,0.631628788,0.584710744,0.600849257,0.592670157,1,0.2,0.2,1,64.8388803,0.099319935,0.004965997,20
