accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.8579936,0.54289968,20,adult,FACETIndex,0.085,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.73841238,0.536920619,20,adult,FACETIndex,0.09,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.52997088,0.526498544,20,adult,FACETIndex,0.095,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.49381042,0.524690521,20,adult,FACETIndex,0.1,6
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.606222153,0.380311108,20,adult,FACETIndex,0.001,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.56475544,0.378237772,20,adult,FACETIndex,0.005,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.476955175,0.373847759,20,adult,FACETIndex,0.01,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.438553095,0.371927655,20,adult,FACETIndex,0.015,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.359992981,0.367999649,20,adult,FACETIndex,0.02,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.317166328,0.365858316,20,adult,FACETIndex,0.025,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.318842411,0.365942121,20,adult,FACETIndex,0.03,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.345627546,0.367281377,20,adult,FACETIndex,0.035,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.492426395,0.37462132,20,adult,FACETIndex,0.04,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.49745512,0.374872756,20,adult,FACETIndex,0.045,7
