dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
vertebral,FACETIndex,100,,70000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.067047161,,3.4,56.70143318,10.66709089,0.533354545,20
cancer,FACETIndex,100,,80000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.304330217,,12.55,65.58320689,13.78851509,0.689425755,20
glass,FACETIndex,100,,80000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.196433841,,5.45,66.37945032,7.265727043,0.363286352,20
magic,FACETIndex,100,,80000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.155434359,,8.05,76.96150064,15.45251894,0.772625947,20
spambase,FACETIndex,100,,80000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.06232583,,17.45,68.55472708,19.59690475,0.979845238,20
vertebral,FACETIndex,100,,80000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.068231562,,3.3,65.05529571,12.04882073,0.602441037,20
cancer,FACETIndex,100,,90000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.302019811,,13.1,73.37959719,15.61320162,0.780660081,20
glass,FACETIndex,100,,90000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.197607512,,5.2,74.88137698,7.791400433,0.389570022,20
magic,FACETIndex,100,,90000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.153990721,,7.9,84.98691154,17.44258642,0.872129321,20
spambase,FACETIndex,100,,90000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.057271316,,16.5,76.30865741,22.33102155,1.116551077,20
vertebral,FACETIndex,100,,90000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.067716881,,3.7,72.65073681,13.70539856,0.685269928,20
cancer,FACETIndex,100,,100000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.2959841,,12.65,81.20325828,17.43390059,0.87169503,20
glass,FACETIndex,100,,100000,10,0.878787879,0.833333333,0.9375,0.882352941,1,0.235354711,,5.5,81.51749134,6.991312742,0.349565637,20
magic,FACETIndex,100,,100000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.157193613,,7.75,94.45576262,19.10237861,0.95511893,20
spambase,FACETIndex,100,,100000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.066979233,,16.45,84.75401735,24.64677095,1.232338548,20
vertebral,FACETIndex,100,,100000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.066391825,,3.25,81.55844069,14.79068756,0.739534378,20
cancer,FACETIndex,100,,100,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.400556085,,14.25,0.140220881,0.02762866,0.001381433,20
glass,FACETIndex,100,,100,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.280249919,,6,0.141314983,0.028149843,0.001407492,20
magic,FACETIndex,100,,100,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.251223612,,8.95,4.802638769,0.028116941,0.001405847,20
spambase,FACETIndex,100,,100,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.201725757,,20.95,1.043162346,0.030833483,0.001541674,20
vertebral,FACETIndex,100,,100,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.195092696,,5.05,0.165247917,0.028096676,0.001404834,20
cancer,FACETIndex,100,,1000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.36208763,,12.95,0.852891684,0.197733641,0.009886682,20
glass,FACETIndex,100,,1000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.242931139,,5.8,0.877980232,0.191329479,0.009566474,20
magic,FACETIndex,100,,1000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.145786493,,9.2,7.851429224,0.205682039,0.010284102,20
spambase,FACETIndex,100,,1000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.152806263,,21,1.794872046,0.246515274,0.012325764,20
vertebral,FACETIndex,100,,1000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.115917817,,4.25,0.887809038,0.218392849,0.010919642,20
cancer,FACETIndex,100,,5000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.316630711,,12.75,4.094729662,0.98237443,0.049118721,20
glass,FACETIndex,100,,5000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.236963672,,5.7,4.16376543,0.740600586,0.037030029,20
magic,FACETIndex,100,,5000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.127589331,,8.6,9.23880744,1.015067816,0.050753391,20
spambase,FACETIndex,100,,5000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.095442575,,17.55,5.160581112,1.211440086,0.060572004,20
vertebral,FACETIndex,100,,5000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.094812614,,2.9,4.139409065,1.040572166,0.052028608,20
cancer,FACETIndex,100,,10000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.306682352,,12.3,8.212888956,1.968458414,0.098422921,20
glass,FACETIndex,100,,10000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.233749492,,5.7,8.300904512,1.334588051,0.066729403,20
magic,FACETIndex,100,,10000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.11594329,,8.8,13.69302917,1.981152058,0.099057603,20
spambase,FACETIndex,100,,10000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.079905758,,17.35,9.363343239,2.342818975,0.117140949,20
