dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,100,3,5,0.909090909,0.913043478,0.954545455,0.933333333,1,0.116673074,5.35,18.2775147,0.280398369,0.014019918,20
glass,FACETIndex,100,3,5,0.909090909,0.913043478,0.954545455,0.933333333,1,0.116673074,5.35,18.08664727,0.275086164,0.013754308,20
cancer,FACETIndex,100,8,5,0.973684211,0.957446809,0.97826087,0.967741935,1,0.386743599,14.4,24.9846375,3.495868921,0.174793446,20
cancer,FACETIndex,100,3,5,0.903508772,0.871794872,0.85,0.860759494,1,0.391636001,13.9,24.78379369,2.838367939,0.141918397,20
spambase,FACETIndex,200,1,5,0.925,0.947204969,0.854341737,0.898379971,1,0.077037223,17.7,51.131814,0.857854843,0.042892742,20
spambase,FACETIndex,200,6,5,0.915217391,0.936555891,0.844686649,0.888252149,1,0.07969948,18.05,51.08444476,0.953856945,0.047692847,20
glass,FACETIndex,200,3,5,0.909090909,0.952380952,0.909090909,0.930232558,1,0.135466128,6.1,35.07777119,0.527071238,0.026353562,20
glass,FACETIndex,300,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.19687377,6,51.69576526,0.494451761,0.024722588,20
glass,FACETIndex,200,3,5,0.909090909,0.952380952,0.909090909,0.930232558,1,0.135466128,6.1,34.72048306,0.520355701,0.026017785,20
vertebral,FACETIndex,500,0,5,0.822580645,0.829787234,0.928571429,0.876404494,1,0.089067741,4.85,87.76608562,0.087224245,0.004361212,20
cancer,FACETIndex,200,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.448387286,17.8,40.58623981,4.005290508,0.200264525,20
vertebral,FACETIndex,500,5,5,0.838709677,0.853658537,0.897435897,0.875,1,0.079489846,5.3,88.13171864,0.103024483,0.005151224,20
cancer,FACETIndex,200,3,5,0.903508772,0.871794872,0.85,0.860759494,1,0.458531238,16.75,40.64432478,3.705169201,0.18525846,20
vertebral,FACETIndex,10,1,5,0.806451613,0.822222222,0.902439024,0.860465116,1,0.081983917,2.05,4.697280169,0.045555353,0.002277768,20
magic,FACETIndex,400,1,5,0.843322818,0.828275862,0.9608,0.88962963,1,0.161227098,7.35,80.29483867,0.179343224,0.008967161,20
vertebral,FACETIndex,10,6,5,0.725806452,0.688888889,0.911764706,0.784810127,1,0.079488041,2.25,3.86411643,0.032304049,0.001615202,20
magic,FACETIndex,400,6,5,0.850946372,0.835372247,0.961383749,0.893959229,1,0.169661326,7.65,81.59726381,0.354654551,0.017732728,20
vertebral,FACETIndex,50,1,5,0.85483871,0.863636364,0.926829268,0.894117647,1,0.076717302,2.7,14.25146055,0.063150644,0.003157532,20
vertebral,FACETIndex,50,6,5,0.725806452,0.697674419,0.882352941,0.779220779,1,0.088227975,3.45,13.47314167,0.056786776,0.002839339,20
glass,FACETIndex,300,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.14078196,6.5,51.57638812,0.515123606,0.02575618,20
spambase,FACETIndex,300,1,5,0.929347826,0.950617284,0.862745098,0.904552129,1,0.09160167,20.65,67.55132127,0.641480207,0.03207401,20
spambase,FACETIndex,300,6,5,0.916304348,0.942073171,0.841961853,0.889208633,1,0.093678085,19.8,66.86059356,1.336485624,0.066824281,20
vertebral,FACETIndex,100,1,5,0.870967742,0.88372093,0.926829268,0.904761905,1,0.0849652,3.7,22.92756271,0.07009387,0.003504694,20
